Player Data

Timestamp, Linear Jerk,, Linear Acceleration,, Linear Velocity,, Angular Jerk, Angular Acceleration, Angular Velocity

1.48246,0,0,0,0,0,0,0,0,0
2.482752,0,0,0,0,0,0,0,0,0
3.484775,0,0,0,0,0,0,0,0,0
4.487917,0,0,0,0,0,0,0,0,0
5.494047,0,0,0,0,0,0,0,0,0
6.501951,0,0,0,0,0,0,0,0,0
7.515026,0,0,0,0,0,0,0,0,0
8.520546,0,0,0,0,0,0,0,0,0

Player Data

Timestamp, Linear Jerk,, Linear Acceleration,, Linear Velocity,, Angular Jerk, Angular Acceleration, Angular Velocity

1.481962,0,0,0,0,0,0,0,0,0
2.481615,0,0,0,0,0,0,0,0,0
3.483557,0,0,0,0,0,0,0,0,0
4.486741,0,0,0,0,0,0,0,0,0
5.492931,0,0,0,0,0,0,0,0,0
6.500792,0,0,0,0,0,0,0,0,0
7.513876,0,0,0,0,0,0,0,0,0
8.5194,0,0,8.863258,-1.55164,-5.694602,0.8887672,0,0,0

